STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
PRR,D,15,STORAGE,20250101 0000,20250101 0000,105347, ,AF
PRR,D,15,STORAGE,20250102 0000,20250102 0000,105560, ,AF
PRR,D,15,STORAGE,20250103 0000,20250103 0000,105775, ,AF
PRR,D,15,STORAGE,20250104 0000,20250104 0000,105775, ,AF
PRR,D,15,STORAGE,20250105 0000,20250105 0000,105775, ,AF
PRR,D,15,STORAGE,20250106 0000,20250106 0000,105989, ,AF
PRR,D,15,STORAGE,20250107 0000,20250107 0000,105989, ,AF
PRR,D,15,STORAGE,20250108 0000,20250108 0000,106053, ,AF
PRR,D,15,STORAGE,20250109 0000,20250109 0000,106096, ,AF
PRR,D,15,STORAGE,20250110 0000,20250110 0000,106246, ,AF
PRR,D,15,STORAGE,20250111 0000,20250111 0000,106096, ,AF
PRR,D,15,STORAGE,20250112 0000,20250112 0000,106268, ,AF
PRR,D,15,STORAGE,20250113 0000,20250113 0000,106203, ,AF
PRR,D,15,STORAGE,20250114 0000,20250114 0000,106246, ,AF
PRR,D,15,STORAGE,20250115 0000,20250115 0000,106482, ,AF
PRR,D,15,STORAGE,20250116 0000,20250116 0000,106482, ,AF
PRR,D,15,STORAGE,20250117 0000,20250117 0000,106439, ,AF
PRR,D,15,STORAGE,20250118 0000,20250118 0000,106568, ,AF
PRR,D,15,STORAGE,20250119 0000,20250119 0000,106675, ,AF
PRR,D,15,STORAGE,20250120 0000,20250120 0000,106568, ,AF
PRR,D,15,STORAGE,20250121 0000,20250121 0000,106568, ,AF
PRR,D,15,STORAGE,20250122 0000,20250122 0000,106654, ,AF
PRR,D,15,STORAGE,20250123 0000,20250123 0000,106439, ,AF
PRR,D,15,STORAGE,20250124 0000,20250124 0000,106654, ,AF
PRR,D,15,STORAGE,20250125 0000,20250125 0000,106804, ,AF
PRR,D,15,STORAGE,20250126 0000,20250126 0000,107173, ,AF
PRR,D,15,STORAGE,20250127 0000,20250127 0000,107237, ,AF
PRR,D,15,STORAGE,20250128 0000,20250128 0000,107367, ,AF
PRR,D,15,STORAGE,20250129 0000,20250129 0000,107345, ,AF
PRR,D,15,STORAGE,20250130 0000,20250130 0000,107518, ,AF
PRR,D,15,STORAGE,20250131 0000,20250131 0000,107561, ,AF
PRR,D,15,STORAGE,20250201 0000,20250201 0000,107626, ,AF
PRR,D,15,STORAGE,20250202 0000,20250202 0000,107626, ,AF
PRR,D,15,STORAGE,20250203 0000,20250203 0000,107755, ,AF
PRR,D,15,STORAGE,20250204 0000,20250204 0000,107777, ,AF
PRR,D,15,STORAGE,20250205 0000,20250205 0000,107777, ,AF
PRR,D,15,STORAGE,20250206 0000,20250206 0000,107885, ,AF
